"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"B3GAT3",2984,5227,2967,5427,1885,4540,2713,4451,11204,3254,7252,2643,4344,6368,1376,4150,4235,4964,2487,3990,3817,2221,18159,5490,2463,3801,2357,7750,4949,4621,2300,4697,4511,2076,1615,2048
"B3GNT2",3822,3558,914,3447,2201,3006,2445,5944,4159,3577,5568,4365,3610,3487,5067,4551,1754,5081,7390,2268,11094,11223,2563,4214,943,2676,5821,2578,3263,5148,16748,5668,8553,3066,3259,6599
"B3GNT3",24,1350,34,79,115,16524,2415,10525,31,6078,1,1048,11,1652,525,5635,8,14891,7130,9191,22446,4657,16609,9566,946,1800,9339,5994,6269,6,5360,9023,7950,2660,11078,17824
"B3GNT4",354,142,178,306,90,65,214,396,58,221,96,166,80,330,411,184,344,105,103,241,499,113,62,135,107,432,104,423,313,103,130,69,147,394,353,221
"B3GNT5",2191,13052,501,2165,1080,6027,2793,8342,5650,6633,24,694,4948,479,3168,2327,11,8597,1980,3119,3702,6002,18062,8292,107,28180,4531,2336,1887,22,7834,10290,5102,1963,705,3819
"B3GNT6",7,28,1,1,7,3,2,1,4,0,0,1,16,8,8,3,2,36,3,3116,8,8,1,9,7,6,1,1,3,0,1,0,1,2,3,336
"B3GNT7",431,35,12,766,876,28,353,4686,435,600,2420,69,35,3459,7,1612,19,408,2724,27,2064,119,32,835,441,1054,9,36,1517,156,4557,4091,71,14,227,150
"B3GNT8",563,4,7,61,19,67,15,247,140,120,751,57,11,19,141,166,22,73,29,256,266,331,2,131,78,1109,131,11,524,20,448,39,6,93,7,24
"B3GNT9",756,5417,656,1584,1036,615,117,1016,1358,300,186,723,227,4632,144,1088,2307,1205,948,631,1361,218,161,2262,1941,3967,449,181,3517,183,1585,153,173,692,254,277
"B3GNTL1",572,3687,894,325,644,1858,995,1229,525,824,227,472,1393,518,126,697,619,804,694,1365,984,1296,1091,997,1813,604,425,564,789,872,154,598,372,1005,214,362
"B4GALNT1",1246,1304,4729,3374,307,22,3138,23,25878,8,3479,279,4613,293,1168,126,5769,535,621,22,1081,60,2556,18,1318,248,150,113,822,8980,23,31,67,5,312,1414
"B4GALNT2",12,28,0,1,3,3,4,3,2,2,712,22,0,75,0,4,0,10,2,10,37,2,2,1,140,0,4,3,95,0,4,2,0,0,4,15
"B4GALNT3",5746,83,2809,4112,2883,1463,1675,10573,7895,5007,6395,3616,3487,2205,230,3826,3229,11554,4578,2742,16857,3383,40,12786,642,16690,2482,278,18425,42,16470,9637,1025,6796,501,13048
"B4GALNT4",9042,9,37,20772,3595,1514,6209,23,41,56,3412,2961,1545,9526,1531,2932,4054,2314,26,6841,56,4808,1038,24,7110,5223,31,21311,2231,5380,17,8,1335,13,5167,2677
"B4GALT1",8716,21791,14131,4847,2959,1058,5113,38621,5102,17167,77667,13299,22163,38699,103511,11718,11668,16751,12346,10976,113416,9807,6206,23710,32144,89151,13116,42849,58165,10654,44220,18727,13760,7684,18316,18706
"B4GALT2",3990,9518,16237,10326,4262,5019,7370,9440,9458,4376,7296,3501,7621,10839,5545,6624,15583,12734,2132,12395,9965,5531,12008,6206,5696,5861,5084,9478,11028,12130,5323,5084,4269,11170,5551,6353
"B4GALT3",4781,5992,5653,7173,3257,6511,6446,6443,5927,3784,7280,5152,2592,3918,7487,6244,8432,7181,2657,6361,10227,6303,7568,4673,6400,6472,2714,7359,9943,6612,9728,3217,6857,4055,4727,7697
"B4GALT4",6543,4472,3383,3543,1212,7937,3750,4343,3166,5920,16709,3367,3678,3388,4786,3522,977,4832,6705,4011,6493,3172,2419,3928,1849,10915,4608,5777,5196,4114,8363,4750,3010,7228,10599,18637
"B4GALT5",24730,36378,13223,19591,15968,18637,20391,21557,57292,13755,25612,16383,32779,77773,26057,16248,10858,14493,9300,14177,32033,25363,60033,17997,30018,37634,10611,52182,34269,61621,30703,27880,23817,14489,23094,26011
"B4GALT6",917,7691,1030,2585,893,1151,2672,991,3643,598,6196,2409,4271,1004,2665,1105,960,287,227,47,2577,92,630,1554,1543,3426,6982,84,1489,1756,1142,5,1760,559,478,1977
"B4GALT7",3736,4561,2329,2615,1383,4684,4584,3676,5156,1921,3307,1562,3313,5427,6239,3198,2489,6274,2118,2979,3878,2266,6718,2256,2765,6677,1325,4273,5214,2708,3492,2784,1627,4477,3305,2532
"B9D1",1197,1911,1051,2588,1010,1733,1406,1276,4912,1065,991,428,1827,1929,799,1119,2644,2131,776,1451,1846,1872,1228,1907,1320,1720,795,2042,3069,3065,791,2310,1991,1207,564,2287
"B9D2",429,261,417,470,82,451,289,332,1099,188,313,220,442,338,90,307,356,319,200,337,1249,320,501,973,1101,454,323,525,540,557,465,176,174,307,191,594
"BAALC",33,69,7,22,7,29,3,8,943,5,6,32,3,103,18,10,13,5,1,2,37,19,4,6,9,55,17,23,21,3,8,1,6,1,5,24
"BAAT",49,32,27,15,82,3066,9,42,12,6910,8,1177,8,8,87,122,31,39,1343,39,156,172,27,29,5,3,116,2,38,45,21,130,5,646,5,860
"BABAM1",8537,16589,6574,10158,2545,8159,7192,10446,10633,6266,26147,2311,9296,16864,8301,7162,17899,9095,3985,8153,13954,6500,12520,10108,16499,9474,6416,11797,16208,12091,9560,4328,6605,6542,8560,10816
"BACE1",5889,12843,9225,8922,3469,632,2386,2921,67089,1229,7985,5145,3144,11142,6195,2667,7623,968,2939,1262,3297,1376,9358,2324,5318,7710,1126,2928,6190,1709,1547,3293,1510,776,1369,3080
"BACE2",489,10940,89,2693,12015,725,2495,53570,61,37013,46,21873,5581,9394,7057,42971,7105,14332,30553,5567,13320,51,843,47823,157,1214,53286,15301,11328,4917,18061,12769,4019,10546,9469,4782
"BACH1",5175,8443,4039,4225,3384,6479,9333,5079,4813,4005,5492,9160,4290,5727,6547,4033,3867,4431,6302,3055,3344,3651,12579,5522,5035,25658,7780,3727,4638,4384,4685,5155,15151,6469,4389,7735
"BACH1-IT1",12,42,23,26,13,24,30,23,37,7,39,68,27,47,28,27,20,27,19,16,34,7,26,26,16,73,47,18,10,34,61,27,49,30,21,32
"BACH1-IT2",3,18,3,5,0,17,13,16,11,4,11,16,13,8,0,9,5,15,2,2,3,2,17,23,6,9,12,11,0,13,46,9,24,9,5,10
"BACH2",1454,809,113,3628,66,5,2596,8,55,4,818,430,81,469,1905,4,2,9,61,7,189,5,16,4,2,3349,8,637,2086,1676,8,28,138,1,55,10
"BAD",3791,2368,2733,2163,889,7469,2161,2558,3776,2225,1927,504,2715,3884,3120,2292,2349,3302,1533,2635,4384,891,2698,4569,2270,3619,1393,3559,5228,3370,1646,1399,3785,4727,1833,3676
"BAG1",3133,3296,3564,10105,4698,17442,3133,19970,5871,10543,2165,1181,2985,10480,11644,9861,11327,23036,8960,7067,14195,12878,3210,9858,14772,10037,7851,21739,7037,6261,7179,8502,3346,14803,6429,9271
"BAG2",1687,24133,296,1950,3011,5160,5235,2594,5776,1803,4548,3915,447,2416,2903,3848,9963,7179,3329,4839,3943,4139,10494,6997,4039,1714,2706,2820,2614,5722,3764,270,423,6957,3324,9557
"BAG3",16525,14726,10101,1739,4517,5182,2454,3254,2554,2867,6383,6227,6680,4757,7406,2194,1508,11738,3043,2255,17030,7265,9704,8834,15452,8461,3025,3145,24008,6673,5644,4815,5774,6345,2741,4552
"BAG4",2482,5488,4484,4796,2902,2144,4558,6085,3357,3878,6302,2941,4585,3463,4171,3109,4036,3105,1743,2002,3031,3896,3576,2647,1799,6188,1955,2652,2384,6162,5789,3289,4036,5136,3480,2396
"BAG5",4424,16742,4100,13018,4058,10834,7198,15667,7089,11031,6289,7786,6754,12838,12369,11296,11833,5562,8327,14281,14337,15851,8549,5631,9788,14976,9247,9420,8108,10465,20349,11194,5419,7694,6076,10903
"BAG6",36856,40045,31989,51298,13686,29964,30517,25385,38440,22032,40390,38940,23297,42401,42919,33679,29855,85331,14288,20340,23430,22684,35185,46198,24419,40256,17068,68881,42751,41060,36253,20040,27569,14379,28034,48071
"BAHD1",7673,11442,1857,8803,2424,9550,2919,4543,7672,4418,4608,5641,5243,3468,9086,2982,6669,4693,3125,3308,14147,4448,6363,5258,3667,17066,3318,6202,6121,9352,3734,4803,1721,5093,1386,5914
"BAIAP2",10121,16257,8604,4292,1586,4595,4369,1480,6569,6010,2165,6906,5800,6115,10691,3216,5962,8525,8930,6861,26630,6634,3500,10546,12385,18730,1602,10920,11413,5035,7306,10051,5114,6165,10530,3850
"BAIAP2L1",10138,40549,1559,11642,5108,24927,5274,19268,184,19943,9672,7747,2873,7880,8243,10802,1019,21145,9099,14882,13167,18532,36155,13482,6148,6010,13857,15712,15505,88,10840,14593,7657,13668,2777,19008
"BAIAP2L2",496,369,61,130,125,15991,62,7336,104,9365,1252,1531,12,80,107,2936,94,7687,7099,7796,6712,2604,726,5611,54,222,13392,375,36,75,81,4487,9,7503,21,873
"BAIAP3",605,29,46,1296,1056,264,355,579,2164,2489,113,130,1587,2716,799,855,191,1098,817,354,4624,20771,206,592,9362,5969,94,4376,1097,198,207,228,140,932,550,99
"BAK1",5254,4270,2965,1891,3576,5845,6288,6808,2943,5217,5237,2834,5150,4679,5997,5921,3822,11701,4682,4011,5240,2632,12890,7631,5162,4365,3801,2621,13515,3196,6139,5436,4272,4874,3205,4673
"BAMBI",14265,3746,532,32208,7479,28,38514,8086,1372,6456,61193,3701,940,10962,1431,17420,1771,1708,2680,2403,84327,28963,28,10558,106,3857,14198,222,5401,35109,28224,12534,285,1552,552,350
"BANF1",24911,21877,37886,16784,6087,12611,21320,21424,18868,9062,23785,3973,16941,20082,24313,25393,23887,25125,8827,23905,32120,27191,31501,30190,14970,18798,7815,26420,24658,21407,14893,18469,23469,13893,20589,27301
"BANK1",368,124,16,43,614,5,8,4,216,88,0,553,10,82,196,7,21,171,74,53,1610,913,138,42,34,2320,2,158,298,8,19,723,231,1163,450,6
"BANP",3182,2112,2676,1765,1021,3758,1949,2143,3951,959,2698,1306,1411,1844,3310,1628,2801,2539,1498,1709,3398,1321,2460,2367,2001,2647,1402,2177,2781,1953,1688,838,1610,2367,1150,1988
"BAP1",10319,14275,10242,17645,5201,12593,14946,14884,19663,6924,13035,9941,9402,17065,8312,12065,11590,10918,104,10283,10984,6616,20224,12020,10837,24095,6988,14944,11839,18068,15129,11298,5228,13904,8966,13751
"BARD1",2894,4117,2460,1817,2012,2683,3681,2684,5033,1128,1145,1038,1557,3341,5344,4312,4955,3122,1103,3547,6282,1888,3938,3569,2435,1984,1924,3165,3142,6592,7791,3867,5244,2935,1669,4813
"BARHL1",16,1,6,376,7,11,6,12,8,12,3,4,11,3,8,12,9,8,11,14,16,6,9,7,7,3,8,7,6,18,5,5,11,7,6,7
"BARX1",861,5,4,6,12,3,10,2,5,2,3778,1,0,4123,10,5,1,15,0,2,245,5,0,4,220,2980,0,3,73,3,3,0,10,3,52,4578
"BARX2",1321,13,4,9,1867,6157,99,2858,13,1087,71,1446,5,6959,4387,90,6,2898,12632,2797,3860,183,6290,29,19,6814,59,10176,211,2,8,632,2135,96,77,779
"BASP1",11170,15910,29871,44,100,59,538,55,82072,16,17,1103,33781,132,45,21,37,72,8,18,70,60,131,54,189817,3233,33,330,36578,52,45,29,72,10,11435,65
"BATF",88,3,43,8,203,2,4,2710,8,504,37,23,6,8,1,4470,1,294,5,1137,1232,8199,18,1530,4,34,1373,13,445,10,1329,898,7,1,329,2
"BATF2",146,1607,106,15,1399,80,62,161,884,27,381,604,151,530,611,89,3,103,128,63,843,9,1778,487,89,54,81,86,696,8,14,85,376,933,276,50
"BATF3",85,342,497,485,108,8,229,105,681,0,3,9,22,2334,39,6,270,3,5,28,276,4,11,4,7,6,17,25,185,39,25,25,4,3,18,5
"BAX",9776,6977,6003,7817,3493,13305,4928,12594,15655,11799,8974,2643,6925,4564,6578,9699,6439,9130,8345,7817,15771,17623,9058,13265,4274,7726,10799,9936,8192,14483,36327,5237,4738,7086,3307,11023
"BAZ1A",7899,22806,10003,10063,5183,9868,4857,13867,16618,25658,3108,10836,5447,7542,12190,9542,17036,8143,7626,15003,10779,14201,13662,11308,11822,16987,7997,17927,7151,15102,21975,10579,10954,8541,7255,12381
"BAZ1B",29283,36488,19921,53830,15794,66523,23914,43067,38102,23803,33474,32027,23765,36846,36193,34309,60287,48078,19149,40931,58731,30095,85970,37287,36002,14800,26255,33013,43754,40900,36948,39122,25343,34750,6887,38376
"BAZ2A",34207,23699,18828,29011,30146,23910,28699,24631,82434,27141,29752,46153,17558,40721,45274,37857,24067,36121,28749,21480,56061,20003,27570,25231,16742,49275,21556,30196,46297,34644,35424,16247,10057,29753,8459,32740
"BAZ2B",5043,7642,1569,5583,6190,5115,3667,8282,7537,4174,414,3970,1292,3886,12058,11224,5261,4585,7748,4752,15533,7206,2144,2573,3264,8377,7994,5713,7454,2470,11832,1830,2827,4146,2008,2480
"BBC3",619,248,301,2227,1600,7767,2918,2315,313,2496,771,250,194,1168,2855,3394,296,892,2019,693,1336,845,227,1370,1007,1811,6338,1744,3362,2954,5579,278,880,2306,168,1097
"BBIP1",751,5725,1152,1906,619,2586,2172,1850,2265,849,1204,1145,1189,2143,1642,1455,1199,2590,826,1171,3249,1022,2924,1046,5416,1032,1071,1872,1445,3997,1473,1060,989,1013,462,989
"BBOX1",915,11,4,1,2,34,1,6,12,7,3,364,0,14,7,17,7,13,26,1,16,3,145,5,256,5750,2,2,81,0,1,0,10,2,0,75
"BBS1",6417,2160,2221,4508,1823,2074,3166,4552,8364,3408,1464,3491,835,2545,4074,6906,3199,4251,3695,2795,6123,3244,3189,2158,1564,5353,1627,6271,4798,2440,1667,858,1135,2024,2187,6919
"BBS10",2498,2870,1283,1758,45,81,77,62,4117,72,2775,5947,1357,2896,3657,1963,2452,999,1926,1131,5551,929,2342,216,1955,3347,1463,2350,1514,2099,1864,50,120,86,2463,2883
"BBS12",477,650,432,573,84,169,303,260,308,237,201,618,125,871,916,248,254,144,422,40,1366,356,262,403,657,941,197,638,478,513,625,192,220,255,261,1101
"BBS2",7845,4009,2810,8495,8146,2578,6119,8046,3957,6064,8826,3171,2307,5171,4224,9537,11052,2231,1886,4304,8803,5014,4578,3474,7443,8675,13784,7192,13121,7335,4043,3829,6133,5055,3785,4038
"BBS4",3349,2137,2239,1530,684,2868,4582,1615,4342,1917,1709,1090,3052,888,4009,3159,1946,1030,1187,2640,3115,4912,3014,1266,2115,6106,1557,2728,1069,2367,2763,1391,1457,1866,1199,2571
"BBS5",1003,895,1187,1782,16,323,2041,14,2625,853,746,739,471,1990,5,401,1418,1656,275,1750,1299,654,394,6,1344,1800,4,653,2599,3158,12,3,99,641,251,2013
"BBS7",1793,3886,3324,2853,2548,2293,2714,2441,2602,1781,1603,1986,1785,2723,3755,1871,2404,1340,793,1930,5700,1588,2510,1705,2712,2445,1532,1634,1609,5320,3045,1856,3036,2929,2007,3087
"BBS9",1363,1505,670,2291,501,14325,2462,1032,3730,1504,797,1058,953,1060,1674,1931,1853,352,144,629,1246,617,792,483,263,2700,1643,2309,1005,1627,1542,388,1178,622,1275,1481
"BBX",15309,31821,9664,10066,11659,9213,12084,7482,11068,5658,2230,27570,4229,19514,10349,9124,8705,6227,10008,3868,24122,3927,12773,7861,10393,15342,6506,18202,14226,15301,11056,7855,6464,8305,6194,11934
"BCAM",134612,698,1237,23565,2393,897,3083,3137,53097,813,28987,26749,13525,15583,7497,15931,1935,5877,5369,834,31743,1570,265,29748,11746,164886,1114,11625,91510,27,64813,9822,900,389,34326,1202
"BCAN",6,8,3,120,7,1412,127,34,50,19,7,31,37,51,23,35,31,43,45,17,383,76,51,31,12,5,23,12,11,3,15,31,24,17,12,64
"BCAP29",4145,40217,6281,4105,2861,11609,5718,5414,6535,3027,8830,4572,10386,8808,4376,5685,4422,8217,2983,5481,4847,5274,17101,4507,5293,3795,2882,6341,3689,9269,7748,7075,8091,6396,2565,4096
"BCAP31",22519,28583,14602,20067,8719,46944,29193,64470,17497,61535,45815,13503,34043,43034,34329,50119,25484,44396,39267,24223,70153,53996,59813,106646,76441,36984,25521,38971,48237,27034,50458,41270,55662,31985,28259,24252
"BCAR1",14138,15467,15593,5180,4296,13778,2167,10843,14787,6584,23693,13627,12048,9791,9869,9957,7807,17007,16069,10484,30494,15220,57790,15444,18895,16741,10191,14331,34560,9135,14695,11493,4299,12797,5910,12314
"BCAR3",3073,19224,6996,796,1592,6382,367,2842,4085,2073,3642,5091,8183,7897,18467,1382,685,4659,4246,4473,6054,5393,2586,422,22318,4619,2210,12023,6006,557,1891,2215,14567,1940,6266,1351
"BCAR4",15,0,0,4,0,0,0,0,5,2,0,0,0,5,2,2,2,2,0,0,7,2,6,0,2,73,1,6,4,2,2,1,1,4,268,0
"BCAS1",153,47,45,16,71,1697,40,6509,73,7203,2,66,26,83,10,1519,13,3520,275,7526,2586,559,38,1389,8,5189,154,473,155,74,261,1240,20,598,9,2320
"BCAS2",7522,6274,6290,3998,2616,6737,6833,7134,6913,4772,7122,3184,5232,6787,9974,8251,7562,8440,3825,6222,11094,4682,8740,7434,7737,7545,3718,6370,4597,9976,8512,5612,7534,6667,2880,3952
"BCAS3",4454,3105,705,6214,863,2305,3387,4580,2295,2841,1729,1331,1157,2174,2596,2596,3114,386,1745,884,5280,1127,1007,860,1699,7133,1537,4198,5217,1494,3117,635,1881,1409,1779,2333
"BCAS4",3571,1931,713,1753,535,170,4375,401,276,13,2479,438,854,4570,3547,677,951,1359,206,859,1457,386,2246,1047,963,4942,18,4308,6390,4085,1453,976,2799,87,1545,1166
"BCAT1",13779,27313,18347,75,218,81,57,64,1571,41,2480,4409,19481,135237,116,4467,26278,1118680,19,49,256,50,78,148,2588,7833,3374,564,12490,94,232,328,158,66429,619,65
"BCAT2",10914,2468,2155,6175,4846,2589,5791,13352,7587,6660,8259,5536,5716,5103,3150,5891,7017,8651,869,6907,12876,3935,3234,10628,8818,5181,5816,9671,8985,7490,20080,5786,3029,7995,6215,10483
"BCCIP",9074,12211,6838,4630,4676,11448,10638,7008,9819,10360,11353,3954,11139,5627,11467,7783,12058,10002,4774,7203,31306,8094,22845,12068,12727,4915,4604,7439,5979,19169,9732,10795,13697,11379,4248,11863
"BCDIN3D",905,324,234,824,270,846,766,809,711,522,451,135,342,514,1317,489,658,485,422,928,867,398,497,389,454,1188,391,513,483,432,653,452,210,769,228,381
"BCDIN3D-AS1",307,223,88,379,81,88,236,265,301,64,107,120,125,162,178,110,186,57,61,151,245,21,83,59,128,217,140,184,72,187,160,87,50,118,97,90
"BCHE",853,6209,275,12,41,11,2462,5,10332,3,6,6276,4,89,7,2,2550,4,2,0,3250,6,16,17,6,2454,134,11,224,12,5,14,136,0,6,0
"BCKDHA",4279,2755,1914,8368,2244,4939,4525,6931,9617,2962,4165,5424,1826,4471,2758,6655,3206,2507,2372,5365,22536,2266,2314,6230,6166,9435,4140,8454,5880,5495,4859,2731,2218,4607,5257,1611
"BCKDHB",2774,5117,1131,3130,3781,3332,3584,3391,2321,1739,4278,3812,1704,4248,1621,4297,4956,2250,1627,5215,6545,3397,3248,4995,3926,2282,1275,5231,2679,3213,3726,2552,3150,5765,1826,2361
"BCKDK",4582,8651,4720,6030,2215,1649,3019,6428,6347,2805,8516,5119,4134,9191,2562,3926,9176,4834,2956,2851,6460,4884,5251,4485,6406,5666,2564,7105,6313,9682,11369,4178,3383,4151,4938,6181
"BCL10",1614,10180,2222,711,961,2681,1496,2867,1548,3641,1779,2223,3100,3507,2731,2178,2194,2642,2239,3590,3247,2136,7119,2268,998,3070,1863,3843,3720,3161,3839,1985,2426,2217,904,5254
"BCL11A",1611,238,12,3255,44,1293,2031,643,2880,2,34,860,6,136,1272,105,2041,362,0,1814,688,3,7,48,5,411,717,22,663,7,1008,1,484,11,53,20
"BCL11B",114,83,4,1757,1273,1620,1006,2975,12,2841,2,6,14,467,341,1287,2405,1254,1711,2391,1903,1072,150,1205,11,1838,1793,11,246,7,471,1398,132,1661,34,1767
"BCL2",229,1534,599,17822,1482,2142,2058,946,154,274,24,2141,122,438,978,893,1673,84,459,1485,1572,105,236,28,1702,473,1299,36,445,5126,40,830,218,3311,144,649
"BCL2A1",6,860,58,5,8,9,6,3,7,0,2,16,8,0,32,7,9,3,30,3,9,8,2,8,1,6,9,5,7,10,2,2,7,2,0,2
"BCL2L1",18621,28613,9871,11193,7891,47354,60223,22092,9146,27135,9912,18990,14879,25750,128619,95950,4735,31427,29026,6784,43092,33914,22533,63425,16529,26815,49206,44472,32177,11206,72887,84785,31591,15617,22714,45686
"BCL2L10",2,3,0,19,2,1,3,0,711,2,8,31,3,126,71,2,0,0,39,189,5,126,2,0,4,27,0,17,120,3,2,0,2,0,4,0
"BCL2L11",3919,1354,801,6142,4113,4641,3377,4863,2045,1229,9367,3365,1366,5958,4169,4012,2205,4894,3428,4531,9900,3866,4074,2912,2031,9239,2395,13054,9262,3345,6533,1548,1635,3377,1494,4752
"BCL2L12",8407,2306,2833,1081,1679,5268,3409,5087,6320,2241,7258,3007,5459,4372,4419,3377,3529,12497,1801,4359,9146,2732,6248,14074,7348,7703,4260,4488,5448,6173,8109,3321,4412,5824,4676,6909
"BCL2L13",9079,23411,4382,3981,4804,5301,10067,9969,8434,6004,8140,4849,11414,6257,39956,8040,6260,6595,5611,7234,15628,9287,13683,6735,6874,18779,3402,12835,19185,5987,5979,10670,5726,8570,6932,6649
"BCL2L14",17,9,3,6,1551,3639,9,3176,28,6221,26,71,8,9,11,674,8,3362,1019,2100,449,652,137,663,5,12,2597,67,263,4,250,726,24,1988,4,2533
"BCL2L15",6,5,8,3,21,2721,1,2774,13,1529,10,184,3,11,13,1198,72,1673,270,958,2334,263,1814,2486,22,5,850,4,3,18,3899,1161,4,168,2,700
"BCL2L2",6686,10137,4981,8973,4451,5043,5099,16649,13492,11831,2767,4314,6208,6347,10745,8812,6497,4313,4500,11516,9210,9632,9451,6727,7540,14537,9802,11850,10810,9276,8772,3659,4431,6214,7811,9228
"BCL2L2-PABPN1",30,66,27,17,16,53,2,15,60,51,17,23,35,28,5,30,24,26,18,51,40,69,31,24,31,10,74,28,43,105,25,12,13,37,6,17
"BCL3",1868,2205,2935,1607,1488,5036,855,8220,1866,2184,2266,1809,6389,8889,1815,4819,554,4694,1871,2956,3517,2044,7448,3453,8928,4864,3140,1672,3232,412,6090,2093,1321,2919,1056,3330
"BCL6",937,2103,1681,6467,1125,1478,1159,3732,77,2052,10570,2190,2702,5953,3043,8129,1418,1825,1464,1315,2151,1962,5170,1813,18327,3432,3636,3331,1769,1080,990,1151,404,1776,1061,1058
"BCL6B",23,26,2,30,243,17,10,5,1261,4,12,58,18,24,4,3,58,1,0,127,4,10,26,559,2,6,1438,4,7,7,9,962,10,2110,5,9
"BCL7A",4336,5126,4491,7703,5172,8581,11910,5181,4255,12204,10939,5716,1467,2912,5644,4383,2471,3398,3051,4750,6769,3482,3796,7639,1944,4437,4754,3667,3165,8595,4566,2691,3621,4670,1347,5389
"BCL7B",5772,7141,3312,6816,2218,12139,4503,10696,7178,6740,5979,2644,5490,12253,14419,9698,6197,12074,6588,9327,7616,7524,17980,9991,6833,3327,7496,9496,12520,7855,9372,10312,4481,9329,2214,5848
"BCL7C",3003,2681,1729,1822,978,2150,1799,2683,1866,1409,3166,834,1610,2020,2846,1515,7659,2891,1088,1488,4993,3924,3508,3076,2370,2596,2831,2495,5084,4945,2935,1516,3285,1624,1729,2737
"BCL9",12724,2391,1041,16810,3573,6961,7427,2562,22816,2798,4394,24068,2497,5217,1732,4137,9594,6423,1933,2862,9683,3970,3930,3892,3177,8474,3538,7863,7290,8736,4879,2969,1943,6280,1136,5060
"BCL9L",20416,29817,12243,10599,6625,27142,30161,8694,5959,16862,8469,13208,11926,21026,58620,14416,14024,18011,19084,5443,31782,25348,34660,19863,16955,37579,10818,33911,18782,3995,16788,21980,7005,9235,7436,17406
"BCLAF1",31386,40066,17829,26929,18798,24733,26344,29467,33780,18770,37479,31936,21740,27232,42424,29491,27541,36441,20829,27354,49087,28385,40332,35248,24227,38672,21757,19908,19447,45742,62322,32363,30795,21121,19091,28586
"BCO2",175,135,54,221,194,117,58,34,213,128,0,151,40,376,59,214,57,75,35,67,371,143,5138,65,814,358,125,76,278,258,34,73,28,119,44,5
"BCOR",5429,9045,9196,36830,4417,11173,14374,11341,39612,12775,16437,12724,3913,9806,9742,10756,9396,10348,5203,12166,10133,7373,4915,7653,7297,6030,7693,6501,6855,65839,14689,5236,2510,6445,2006,10804
"BCORL1",4210,2846,968,13696,2602,392,3587,2673,7930,784,6561,4230,1145,6116,2219,3265,5098,3049,1362,250,3743,5357,2151,4790,2542,4889,2232,1393,3787,3059,4882,3065,403,1751,1391,2106
"BCR",10597,4477,88,7921,4225,27484,8757,14255,25836,10529,10152,10040,8063,6894,8377,11104,6843,10934,10878,12128,33938,21654,6275,19364,6433,17334,14632,11511,15582,9313,23476,13720,4719,14037,9328,10610
"BCS1L",3185,2581,4939,4240,3178,3846,5040,5480,4783,3748,2804,1269,3541,3465,4657,8725,10430,5537,3192,5783,9158,3023,6075,5725,5348,3487,2401,3196,2885,6864,3676,3663,4920,4778,1867,5382
"BCYRN1",632,391,195,660,41,253,66,864,330,554,190,773,527,92,109,203,393,193,77,366,1057,444,620,119,253,79,1610,410,124,80,357,192,844,212,67,165
"BDH1",3403,3239,470,7255,1260,1765,3441,11486,9447,18043,5379,1977,8,2858,62,14328,19,21746,7365,8618,4823,10454,855,11271,4392,405,6824,7973,1153,4812,28,6114,1089,7607,2553,9797
"BDH2",558,2446,580,950,1288,641,372,1721,2889,1241,1005,418,166,1411,377,1877,1648,290,23,1328,3511,906,1094,1523,1148,2634,2128,1005,1350,174,2517,787,108,807,299,1893
"BDKRB1",669,517,4122,68,22,1,2,6,24,322,5,303,222,185,2,2,3,66,21,528,722,245,178,2,13,131,2,4,1132,2,55,50,81,74,107,0
"BDKRB2",1583,567,479,1366,9,7,7,150,186,2532,2,1315,1429,5088,21,129,8,1640,495,3679,2624,2850,1588,16,173,2706,18,16,5162,1,1026,919,414,2166,1554,17
"BDNF",194,1923,1668,792,6223,18,18,7,313,6,1,9892,8898,3008,189,8,717,38,44,7,348,13,1749,15,39217,230,10,4014,146,35,7,1,7239,9,8438,36
"BDNF-AS",75,29,62,142,238,147,247,88,218,191,5,941,71,108,24,111,31,471,247,20,88,124,113,103,607,130,143,221,82,109,5,15,185,118,71,151
"BDP1",9022,13805,7453,5380,10127,7207,10759,17780,30643,8223,9015,11441,7720,12535,16107,10886,14840,7112,6849,8987,22736,7446,18141,8799,8063,10460,8084,8346,5082,16765,18812,8856,6952,8319,3749,30038
